prod_pat_id,product_id,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag,submission_date
19264,PRODUCT_208383_001,8404724,2031-03-29 00:00:00,0,1,U-2034,0,2017-07-21 00:00:00
19265,PRODUCT_022063_001,9173857,2026-05-12 00:00:00,0,0,U-2025,0,2017-07-07 00:00:00
19266,PRODUCT_205637_003,9655843,2027-07-23 00:00:00,0,1,U-2017,0,2017-06-13 00:00:00
19267,PRODUCT_202788_003,9642797,2027-01-25 00:00:00,0,1,U-55,0,2017-05-15 00:00:00
19268,PRODUCT_202788_004,9642797,2027-01-25 00:00:00,0,1,U-55,0,2017-05-15 00:00:00
19269,PRODUCT_205637_001,9655843,2027-07-23 00:00:00,0,1,U-2017,0,2017-06-13 00:00:00
19270,PRODUCT_021272_001,9713599,2024-12-16 00:00:00,0,0,U-2036,0,2017-07-25 00:00:00
19271,PRODUCT_021923_001,9737488,2028-09-10 00:00:00,0,1,U-1696,0,2017-09-20 00:00:00
19272,PRODUCT_021923_001,9737488,2028-09-10 00:00:00,0,1,U-2107,0,2017-09-20 00:00:00
19273,PRODUCT_209661_001,9375404,2033-02-18 00:00:00,0,1,U-1382,0,2017-03-03 00:00:00
19275,PRODUCT_208090_005,9248195,2023-07-07 00:00:00,0,0,U-1556,0,2016-07-19 00:00:00
19276,PRODUCT_206627_002,9682077,2020-10-30 00:00:00,0,0,U-1556,0,2017-06-20 00:00:00
19277,PRODUCT_208944_002,8796337,2025-11-23 00:00:00,0,0,U-2106,0,2017-09-21 00:00:00
19278,PRODUCT_202155_001,6967208,2026-11-21 00:00:00,1,1,U-1167,0,2013-01-25 00:00:00
19279,PRODUCT_208780_001,8778947,2033-08-30 00:00:00,0,0,U-2045,0,2017-02-10 00:00:00
19281,PRODUCT_209940_001,7196086,2024-05-22 00:00:00,1,1,,0,2017-12-07 00:00:00
19282,PRODUCT_205596_001,9750822,2029-03-13 00:00:00,0,1,,0,2017-11-28 00:00:00
19283,PRODUCT_209777_003,7955619,2028-08-12 00:00:00,0,1,,0,2017-05-19 00:00:00
19284,PRODUCT_022569_001,9731869,2032-01-26 00:00:00,0,1,,0,2017-09-01 00:00:00
19285,PRODUCT_208799_003,9463288,2025-05-19 00:00:00,0,1,,0,2017-01-30 00:00:00
19286,PRODUCT_206538_001,9775954,2024-03-02 00:00:00,0,1,,0,2017-10-03 00:00:00
19287,PRODUCT_208799_002,8651103,2028-03-26 00:00:00,0,1,,0,2017-01-30 00:00:00
19288,PRODUCT_208798_001,8978966,2032-01-13 00:00:00,0,1,,0,2017-01-30 00:00:00
19289,PRODUCT_206627_002,9056052,2020-10-30 00:00:00,0,1,,0,2015-07-13 00:00:00
19290,PRODUCT_022496_001,9585838,2021-12-24 00:00:00,0,1,,0,2017-04-03 00:00:00
19291,PRODUCT_208751_002,9108002,2026-01-20 00:00:00,0,1,,0,2017-10-25 00:00:00
19292,PRODUCT_208552_001,7812049,2028-05-02 00:00:00,0,0,U-1959,0,2017-02-09 00:00:00
19295,PRODUCT_202270_003,7078381,2019-02-02 00:00:00,0,0,U-1996,0,
19297,PRODUCT_202270_003,7459428,2019-02-02 00:00:00,0,0,U-1996,0,
19298,PRODUCT_022044_001,7078381,2019-02-02 00:00:00,0,0,U-1996,0,
19299,PRODUCT_203093_002,7176220,2026-08-27 00:00:00,1,1,U-257,0,2014-10-17 00:00:00
19300,PRODUCT_207561_001,7176220,2026-08-27 00:00:00,1,1,U-257,0,2015-12-01 00:00:00
19301,PRODUCT_201635_003,8889191,2027-11-16 00:00:00,0,0,U-1992,0,2014-12-17 00:00:00
19302,PRODUCT_201635_003,8663683,2027-11-16 00:00:00,0,1,U-1992,0,
19303,PRODUCT_201635_003,8877248,2027-11-16 00:00:00,0,1,U-1992,0,2014-11-12 00:00:00
19304,PRODUCT_201635_004,8889191,2027-11-16 00:00:00,0,0,U-1992,0,2014-12-17 00:00:00
19305,PRODUCT_201635_004,8663683,2027-11-16 00:00:00,0,1,U-1992,0,
19306,PRODUCT_201635_004,8298580,2027-11-16 00:00:00,0,1,U-1992,0,2013-08-22 00:00:00
19307,PRODUCT_207958_002,9669009,2034-03-14 00:00:00,0,0,U-2022,0,2017-06-28 00:00:00
19308,PRODUCT_207958_003,9669009,2034-03-14 00:00:00,0,0,U-1850,0,2017-06-28 00:00:00
19309,PRODUCT_207958_003,9669009,2034-03-14 00:00:00,0,0,U-2022,0,2017-06-28 00:00:00
19310,PRODUCT_208611_001,9539250,2025-10-07 00:00:00,1,1,U-2028,0,2017-07-18 00:00:00
