Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Calderdale Mbc,"26 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252766,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2750,Shop and Premises,Listed Building
Westfield Properties,"Unit 10, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164730,"2 Stansfield Road, Todmorden, Lancs, OL14 5DL",1750,Workshop And Premises,Rateable Value below threshold
Westfield Properties Ltd,"Units 4 & 5, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164753,"2 Stansfield Road, Todmorden, Lancs, OL14 5DL",1550,Workshop And Premises,Rateable Value below threshold
Marshalls Mono Ltd,"Hall Ings, Southowram, Halifax, HX3 9RQ",65240700,"A Johnson - Group Prop Manager, Marshalls Plc, Landscape House, Premier Way, Lowfields Business Park, Elland, HX5 9HT",2650,Store And Premises,Rateable Value below threshold
,"S/0 14 Bottomley Street, Brighouse, HD6 4AR",29072700,,1850,Store And Premises,Rateable Value below threshold
,"120 Hanson Lane, Halifax, HX1 5PG",65264120,,1725,Shop and Premises,Rateable Value below threshold
First Group,"International House, 139 Skircoat Road, Halifax, HX1 2RE",68604708,"Attn Alison Davidson, First Shared Services, 395 King Street, Aberdeen, AB24 5RP",1600,Offices and Premises,Rateable Value below threshold
Benjamin Whiteley & Sons Ltd,"Part Ground Floor Front, Multi Storey Park Road Mills, Park Road, Elland               HX5 9HX",56192735,"Park Road Mills, Park Road, Elland, HX5 9HX",980,Warehouse,Rateable Value below threshold
Calderdale Mbc,"27 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252725,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2800,Shop and Premises,Listed Building
Calderdale Mbc Community Services,"Boothtown Road, Halifax, HX3 6ET",64284700,"Fao Jim Milner, Westgate House, Westgate, Halifax, HX1 1PD",1050,Public Conveniences,Rateable Value below threshold
Finestreet Ltd,"21e Halifax Road, Todmorden, OL14 5AG",78192776,"21a Halifax Road, Bramsche Square, Todmorden, OL14 5AG",1375,Salon,Rateable Value below threshold
Calderdale Mbc Community Services,"25 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252726,"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",2800,Shop and Premises,Listed Building
,"1 Oak Terrace, Stainland, Halifax, HX4 9EY",68112001,,1775,Shop and Premises,Rateable Value below threshold
J Speak & Co Ltd,"Unit 4, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772725,"1 Alfred Street, Greetland, Halifax, HX4 8LT",1750,Garage And Premises,Rateable Value below threshold
Units To Let [Northern] Ltd,"Unit 2 (1st Floor), Mearclough Works, Mearclough Road, Sowerby Bridge      HX6 3LF",77340710,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",580,Store And Premises,Rateable Value below threshold
,"Unit 29, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164749,,750,Workshop And Premises,Rateable Value below threshold
J Speak & Co Ltd,"Adj Unit 3, North Dean Mills, Greetland, Halifax             HX4 8LS",68772713,"North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",850,Store And Premises,Rateable Value below threshold
Hurst Group Northern Ltd,"Capital Works, 12-14 Wakefield Road, Brighouse, HD6 1PE",29608755,"F.A.O. Mr Gary Hurst, Aynsley House, Common Road, Low Moor, Bradford, BD12 0UF",37250,Factory and Premises,Empty Relief - Post 01/04/2008
,"Office No 1, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BS",77648721,,1750,Offices and Premises,Rateable Value below threshold
Swinton Colonnade,"Fellside House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",65288707,"Fao Purchase Ledger, Swinton Group Ltd, 6 Great Marlborough Street, Manchester, M1 5SW",22750,Offices and Premises,Empty Relief - Post 01/04/2008
Joseph Dobson & Sons Ltd,"22/24 Northgate, Elland, HX5 0RU",56180024,"26 Northgate, Elland, West Yorks, HX5 0RU",7100,Offices and Premises,Empty Relief - Post 01/04/2008
,"3a Crown Street, Hebden Bridge, HX7 8EH",76176721,,7000,Salon And Premises,Empty Relief - Post 01/04/2008
Benjamin Whiteley & Sons Ltd,"1ST, 2ND & 2RD Floors, Park Road Mills, Park Road, Elland               HX5 9HX",56192766,"Park Road Mills, Park Road, Elland, HX5 9HX",10000,Workshop And Premises,Empty Relief - Post 01/04/2008
Hutchinson 3G Uk Ltd,"Telecommunications Mast, Site Ref 0009, Mile Cross Road, Halifax              HX1 4HN",65800703,"C/O Gva, Po Box 6079, Wolverhampton, WV1 9RA",11500,Communication Station and Premises,Unoccupied Land
Westfield Properties Ltd,"Unit 7a, Lineholme Mill, Burnley Road, Todmorden           OL14 7DH",78076807,"2 Stansfield Road, Todmorden, Lancs, OL14 5DL",560,Store And Premises,Rateable Value below threshold
Decopac Ltd [In Liquidation],"Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse, HD6 4AW",29572701,"C/O Brackenbury Clark & Co Ltd, 26 York Place, Leeds, LS1 2EY",103000,Workshop And Premises,Bankrupt / Liquidation / Winding Up Order
S Sheard & Son Ltd,"Prospect Mill, Church Street, Greetland, Halifax              HX4 8LY",64576702,"Solar Works, Calder Street, Greetland, Halifax, HX4 8AQ",58000,Warehouse And Premises,Empty Relief - Post 01/04/2008
Seddon Homes Ltd,"Melbourne Street, Hebden Bridge, HX7 6AS",76364706,"Birchwood One Business Park, Dewhurst Road, Birchwood, Warrington, WA3 7GB",680,Workshop And Premises,Rateable Value below threshold
Calderdale Mbc,"34/35 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252746,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",5700,Shop and Premises,Listed Building
Cullingworth Commercials & Freight Services Ltd,"Mezzanine Office 11, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",69388711,"Fao June Dove, Lumbrook Mills, Westercroft Lane, Shelf, Halifax, HX3 7TY",6400,Office,Empty Relief - Post 01/04/2008
,"Unit 2, 27 Rastrick Common, Brighouse, HD6 3DW",29480711,,6100,Warehouse And Premises,Empty Relief - Post 01/04/2008
,"First Floor, 6-8 Hall Street, Halifax, HX1 5AY",65248714,,4950,Warehouse And Premises,Empty Relief - Post 01/04/2008
Pennine Housing 2000 Ltd,"31 Dene Place, Halifax, HX1 5TL",64808031,"Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",3900,Shop and Premises,Empty Relief - Post 01/04/2008
Roch Valley Homes Ltd,"Unit 6 Hollins Mill, Rochdale Road, Todmorden, OL14 6SA",78400842,"2nd Floor, Hollins Mill, Walsden, Todmorden, OL14 6SA",1950,Store And Premises,Empty Property - RV < 15000
,"Unit 1, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",77276704,,1450,Workshop And Premises,Empty Property - RV < 15000
,"Opp Victoria Works, Calder Street, Brighouse, HD6 1LZ",29124707,,7500,Car Park,Unoccupied Land
Calderdale Mbc,"38 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252747,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",1875,Shop and Premises,Listed Building
Director Of Safer & Stronger Communities,"62/63 Rustic, Piece Hall, Halifax, HX1 1RE",68252792,"Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",5200,Shop and Premises,Listed Building
Calderdale Mbc Markets Manager,"Balcony Store, 29 Borough Market, Halifax, HX1 1DZ",64288817,"19 Albion Street, Halifax, HX1 1DU",455,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 15B, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284726,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,Store,Rateable Value below threshold
Thornhill Estates,"Dewsbury Road, Brighouse, HD6 3QB",29228700,"C/O Savills L & P Ltd, 13-15 Micklegate, York, YO1 6JH",890,Cricket Club And Premises,Empty Property - RV < 15000
,"The Yard Studio, Mount Pleasant Mill, Midgley Road, Mytholmroyd         HX7 5LR",76444718,,1000,Studio And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 203B Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420724,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",135,Store And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 301 Third Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420727,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1175,Warehouse And Premises,Empty Property - RV < 15000
,"Suite 4, Nursery Lane Health Centre, Nursery Lane, Halifax              HX3 5SW",68104704,,920,Office,Rateable Value below threshold
Blackshaw Holdings Ltd,"Part 2ND Floor Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084810,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",14750,Offices and Premises,Empty Relief - Post 01/04/2008
Everything Everywhere Ltd,"Telecommunication Mast, Ref WYK70402 Ainley Bottom, Huddersfield Road, Elland               HX5 9JP",56132836,"C/O Gva, Po Box 6079, Wolverhampton, WV1 9RA",4300,Communication Station and Premises,Unoccupied Land
Everything Everywhere Ltd,"Telecomms Mast, Site Ref WYK0178, Savile Park Road, Halifax              HX1 2XH",68472718,"C/O Gva, Po Box 6079, Wolverhampton, WV1 9RA",12250,Communication Station and Premises,Unoccupied Land
Calderdale Mbc Land & Property Services,"22 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252749,"Northgate House, Northgate, Halifax, HX1 1UN",2750,Shop and Premises,Listed Building
Calderdale Mbc Land & Property Services,"12/13 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252741,"Northgate House, Northgate, Halifax, HX1 1UN",5600,Shop and Premises,Listed Building
Homes & Communities Agency,"2ND Floor, 25B Union Street, Halifax, HX1 1PR",69144709,"Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",1725,Store And Premises,Rateable Value below threshold
Homes & Communities Agency,"Crown Works, Hopwood Lane, Halifax, HX1 5HW",65364702,"Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",1075,Workshop And Premises,Rateable Value below threshold
,"Unit 4, 10A Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",78416714,,1800,Workshop And Premises,Empty Property - RV < 15000
Calderdale Mbc Community Services,"43 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252743,"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",810,Shop and Premises,Listed Building
,"Part Ground Floor, Royd House, Birds Royd Lane, Brighouse           HD6 1LQ",29052717,,2250,Store And Premises,Empty Property - RV < 15000
Calderdale Mbc,"80 Rustic, Piece Hall, Halifax, HX1 1RE",68252080,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2100,Shop and Premises,Listed Building
,"Room 1,2nd Floor, 3 Clare Road, Halifax, HX1 2HX",64584743,,1250,Office and Premises,Rateable Value below threshold
Leo Sawrij Ltd,"Park Spring Quarry, Swales Moor Road, Halifax, HX3 6UF",68908701,"Swalesmoor Mik Farm, Swales Moor Road, Halifax, HX3 6UF",15750,Mineral Processing Plant And Premises,Empty Relief - Post 01/04/2008
Woodfield Enterprises Ltd,"Office 2, Part 1ST Flr, Town Hall (Rear), 16 Market Street, Brighouse            HD6 1AP",29404709,"Woodfield House, Halifax Road, Hipperholme, Halifax, HX3 8HD",2400,Offices and Premises,Listed Building
Bower & Child Ltd (1985) Retirement & Death Benefit Scheme,"Room 1 At, 37 Bethel Street, Brighouse, HD6 1JR",29048736,"Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",2100,Offices and Premises,Rateable Value below threshold
,"6 Town Hall Buildings, Elland, HX5 9AJ",56236006,,3000,Shop and Premises,Listed Building
Bizspace Ltd,"Unit 8C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628746,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",4150,Offices and Premises,Empty Relief - Post 01/04/2008
The Original Wholesale Liquor Store Ltd (In Liquidation),"9-11 King Street, Brighouse, HD6 1NX",29372713,"Gary Bowman, Carndearg Consultants T/A Pca, Unit 1c, 5 Main Road, Condorrat, Cumbernauld, Glasgow, G67 4BT",23500,Shop and Premises,Empty Relief - Post 01/04/2008
Homes & Communities Agency,"8 King Cross Street, Halifax, HX1 2SH",65520709,"Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",7100,Showroom And Premises,Listed Building
,"First Floor, 41A Crown Street, Halifax, HX1 1JB",64756744,,9100,Offices and Premises,Listed Building
Bizspace Ltd,"Unit 18D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628862,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1825,Offices and Premises,Rateable Value below threshold
Pennine Housing 2000,"Unit 1, Akroyd Court, Halifax, HX3 6DG",64032700,"Bull Green House, Bull Green, Halifax, HX1 2EB",11500,Garage And Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unit 11, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",29284739,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",385,Store And Premises,Rateable Value below threshold
,"First Floor, 18 Silver Street, Halifax, HX1 1HS",68580712,,9500,Offices and Premises,Empty Relief - Post 01/04/2008
,"Office 4 Unit 3, Farrar Mill Yard, Farrar Mill Lane, Halifax              HX3 9EU",65068714,,1075,Office and Premises,Rateable Value below threshold
Abw Investments Ltd,"17 Town Hall Street, Sowerby Bridge, HX6 2EA",77600017,"55 Winding Road, Halifax, HX1 1SJ",4750,Offices and Premises,Empty Relief - Post 01/04/2008
,"Slitheroe Works, Oldham Road, Rishworth, Sowerby Bridge       HX6 4EW",77412717,,7700,Offices and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unofficial Address, Unit 203 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",29124736,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",700,Office and Premises,Empty Property - RV < 15000
,"18 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",76408711,,220,Store And Premises,Empty Property - RV < 15000
Bizspace Ltd,"Unit 16K, Calderdale Buslness Park, Club Lane, Halifax              HX2 8AX",64628824,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",6700,Offices and Premises,Empty Relief - Post 01/04/2008
E.P.I.C Plc,"7a Commercial Street, Brighouse, HD6 1AF",29196705,"Robin Hood Works, Wakefield Road, Brighouse, HD6 1PE",5100,Hairdressing Salon and Premises,Empty Relief - Post 01/04/2008
Wynne Systems Uk Ltd,"Unit B2, Lowfields Close, Lowfields Business Park, Elland               HX5 9DX",56174709,"C/O Unit B4 Lowfields Close, Lowfields Business Park, Elland, HX5 9DX",38250,Offices and Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"""Unauthorised Address"", Unit 7A River Street B Pl, River Street, Brighouse            HD6 1NL",29492743,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",6200,Warehouse And Premises,Empty Relief - Post 01/04/2008
Boothtown Partnership,"Grantham Road, Recreation Ground, Grantham Road, Halifax",65192716,"Attn D & V Robertshaw, 15 Woodside View, Boothtown, Halifax, HX3 6EH",6100,Changing Rooms And Premises,Empty Relief - Post 01/04/2008
Ingfield Farm Shop Ltd,"Ingfield Farm Shop, Law Farm, Law Lane, Southowram           HX3 9UG",65592707,"Law Farm, Law Lane, Southowram, Halifax, HX3 9UG",11750,Shop and Premises,Empty Relief - Post 01/04/2008
F C F M Group Ltd,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276703,"295 Kings Road, London, SW3 5EP",5600,Offices and Premises,Listed Building
Stubb Fields Community Association,"Stubb Playing Fields, Mytholmroyd, Hebden Bridge, HX7 5AP",76452700,"Stubb House, Stubb, Mytholmroyd, Hebden Bridge, HX7 5AP",1275,Changing Rooms And Premises,Rateable Value below threshold
I K O Y Secretarial Ltd,"Office Suite D226, Dean Clough Mills, Halifax, HX3 5AX",64778813,"Fao Kristian Blackburn, Office Suite D226, Dean Clough Mills, Halifax, HX3 5AX",2900,Office,Listed Building
Dean Clough Ltd,"Office Suite D 39, Dean Clough Mills, Halifax, HX3 5AX",64788727,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",4750,Offices,Listed Building
Kinect Build Ltd (In Liquidation),"Unit B, Harley House Mill, Harley Street, Todmorden           OL14 5JE",78208707,"Simmonds & Company, Crown House, 217 Higher Hillgate, Stockport, Cheshire, SK1 3RB",6100,Warehouse And Premises,Bankrupt / Liquidation / Winding Up Order
Singletrack Media Ltd,"23 Dale Street, Todmorden, OL14 5PX",78116023,"Ground Floor, Lockside Mill, Dale Street, Todmorden, OL14 5PX",2400,Offices and Premises,Rateable Value below threshold
Blackshaw Holdings Ltd,"Office 2 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084865,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",2025,Offices and Premises,Empty Property - RV < 15000
,"Store G02, Gf Cromwell House, Elland Road, Brighouse            HD6 2RG",29236824,,660,Store And Premises,Rateable Value below threshold
The Craft Union Pub Company Ltd,"George Hotel, 2 Commercial Street, Brighouse, HD6 1AQ",29196701,"Fao Helen Standing, The Craft Union Pub Company Lt, South Preston Office Village, 4A Cuerden Way, Preston, PR5 6BL",22000,Public House and Premises,Empty Relief - Post 01/04/2008
,"Mount Pleasant House, Midgley Road, Mytholmroyd, Hebden Bridge        HX7 5LR",76372713,,370,Store And Premises,Rateable Value below threshold
,"Unit 6, South Street, Halifax, HX1 2EL",68640703,,3750,Store And Premises,Empty Relief - Post 01/04/2008
Units To Let [Northern] Ltd,"Mount Pleasant Mill Yard, Mytholmroyd, Hebden Bridge, HX7 5NR",76444709,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",470,Store And Premises,Rateable Value below threshold
Gallyville Ltd (In Liquidation),"11 Southgate House, Southgate, Halifax, HX1 1DE",68656011,"Inquesta, St John's Terrace, 11-15 New Road, Manchester, M26 1LS",9800,Office and Premises,Empty Relief - Post 01/04/2008
Coal Pension Properties Ltd,"10 Square, Halifax, HX1 1RJ",68700010,"C/O Capita, 65 Gresham Street, London, EC2N 7NQ",15750,Shop and Premises,Empty Relief - Post 01/04/2008
